id_produto,nome_produto,categoria,preco_custo,preco_venda
1,Produto_1,Alimentos,73.24,100.72
2,Produto_2,Eletrônicos,89.05,109.2
3,Produto_3,Livros,158.47,198.46
4,Produto_4,Eletrônicos,57.86,93.65
5,Produto_5,Eletrônicos,81.62,117.57
6,Produto_6,Eletrônicos,188.82,337.18
7,Produto_7,Livros,33.06,50.15
8,Produto_8,Alimentos,149.72,255.69
9,Produto_9,Acessório,55.72,68.65
10,Produto_10,Eletrônicos,176.06,242.48
11,Produto_11,Eletrônicos,132.88,199.06
12,Produto_12,Acessório,51.76,78.75
13,Produto_13,Eletrônicos,109.34,140.3
14,Produto_14,Alimentos,44.3,70.01
15,Produto_15,Alimentos,129.61,219.37
16,Produto_16,Roupas,128.28,204.22
17,Produto_17,Eletrônicos,121.21,167.27
18,Produto_18,Roupas,154.8,259.58
19,Produto_19,Roupas,92.91,152.54
20,Produto_20,Eletrônicos,141.76,227.63
