id_venda,id_cliente,id_produto,quantidade,data_venda
1,14,18,5,2023-11-07
2,13,11,1,2023-01-07
3,4,15,2,2023-09-13
4,11,2,1,2024-05-12
5,5,17,5,2024-06-13
6,50,11,4,2024-03-15
7,29,6,1,2024-06-05
8,33,20,2,2023-03-29
9,11,9,2,2023-07-27
10,49,13,1,2023-07-20
11,10,14,4,2023-11-19
12,8,3,1,2023-10-25
13,13,17,4,2024-07-13
14,30,13,4,2024-04-10
15,35,15,1,2023-03-05
16,37,1,3,2023-04-27
17,12,16,3,2023-10-19
18,27,11,5,2024-07-09
19,1,17,3,2023-04-21
20,7,13,3,2023-03-26
21,28,16,4,2023-06-13
22,9,7,3,2023-11-22
23,13,3,3,2023-07-14
24,25,9,5,2023-04-12
25,18,2,1,2024-01-21
26,21,15,1,2024-06-11
27,5,9,1,2023-10-17
28,50,11,2,2023-11-19
29,42,2,3,2024-01-19
30,21,19,1,2023-05-02
31,8,18,4,2023-06-15
32,2,13,2,2023-12-04
33,10,20,1,2023-03-18
34,9,20,1,2024-06-17
35,42,12,5,2024-03-10
36,3,13,2,2023-03-08
37,14,5,2,2023-04-16
38,2,14,4,2023-05-26
39,6,17,4,2023-01-21
40,25,18,4,2024-02-09
41,12,10,4,2023-05-02
42,9,3,1,2023-08-21
43,32,17,1,2023-12-20
44,10,18,4,2024-04-09
45,4,15,3,2023-02-03
46,31,1,1,2024-07-12
47,13,11,2,2024-02-03
48,9,11,5,2024-04-07
49,18,14,3,2023-10-09
50,27,17,5,2023-09-14
51,22,19,2,2023-01-09
52,11,8,3,2024-04-29
53,48,17,2,2023-09-19
54,49,13,1,2023-01-17
55,3,2,1,2023-05-31
56,23,12,1,2023-08-14
57,32,6,5,2023-12-21
58,46,8,5,2023-05-12
59,35,16,2,2024-02-03
60,12,17,3,2023-07-03
61,48,1,2,2024-01-17
62,9,1,5,2024-04-23
63,36,20,1,2024-05-31
64,11,18,1,2024-02-04
65,16,7,5,2023-10-25
66,16,6,1,2024-08-07
67,3,12,4,2024-01-05
68,25,4,2,2024-05-11
69,5,8,5,2023-08-23
70,36,4,4,2024-02-13
71,18,15,4,2024-05-03
72,11,19,4,2024-08-05
73,48,12,2,2023-01-09
74,28,17,3,2023-12-08
75,34,18,4,2023-05-28
76,20,1,4,2024-02-07
77,21,12,1,2023-09-09
78,2,18,3,2023-03-03
79,37,3,4,2024-08-01
80,48,5,2,2024-06-17
81,40,5,2,2023-08-25
82,19,2,2,2023-10-13
83,17,9,3,2023-09-09
84,14,8,4,2023-05-04
85,2,15,4,2023-05-06
86,47,1,2,2024-05-03
87,45,4,4,2023-06-11
88,7,6,4,2024-01-25
89,37,17,3,2024-07-02
90,27,4,4,2023-01-28
91,7,3,3,2023-08-20
92,19,3,1,2024-02-09
93,50,19,5,2023-03-05
94,21,1,1,2023-07-12
95,28,9,2,2024-02-08
96,18,2,5,2024-07-19
97,8,18,1,2024-07-16
98,4,18,4,2023-02-18
99,17,17,1,2024-01-16
100,4,18,4,2024-03-20
101,31,10,4,2023-02-05
102,43,9,3,2023-11-15
103,27,6,4,2023-08-07
104,29,13,2,2023-01-27
105,48,19,1,2024-05-28
106,20,15,4,2024-04-24
107,21,1,5,2024-07-02
108,42,2,5,2024-06-22
109,33,18,1,2024-06-18
110,26,10,4,2024-07-07
111,33,4,4,2024-03-29
112,10,11,4,2023-03-17
113,14,9,1,2024-02-29
114,1,11,3,2023-01-12
115,50,11,3,2024-06-22
116,22,9,1,2023-09-23
117,38,3,2,2024-04-22
118,42,10,2,2023-02-15
119,10,12,2,2024-05-08
120,30,15,1,2023-02-02
121,48,8,2,2024-04-07
122,4,13,5,2024-07-26
123,6,9,4,2023-06-11
124,5,12,1,2024-06-26
125,27,14,1,2023-03-06
126,18,12,5,2023-11-10
127,31,15,2,2024-06-14
128,23,5,2,2024-04-29
129,21,16,1,2023-05-31
130,28,13,3,2023-11-12
131,10,8,4,2023-06-14
132,3,13,1,2024-04-04
133,21,8,4,2024-01-03
134,36,2,4,2023-04-25
135,46,18,1,2023-11-15
136,2,14,1,2024-02-12
137,4,5,4,2024-06-29
138,25,11,3,2023-11-07
139,4,10,1,2023-12-16
140,24,4,3,2024-06-03
141,45,15,2,2024-03-14
142,29,3,5,2023-06-04
143,45,10,4,2024-01-28
144,31,11,3,2024-02-20
145,27,3,2,2024-06-02
146,32,13,2,2023-07-16
147,48,12,1,2023-05-07
148,16,9,3,2023-01-10
149,8,2,2,2024-06-01
150,23,15,2,2023-02-15
151,41,1,1,2023-07-08
152,29,19,2,2023-05-03
153,28,1,1,2023-08-19
154,5,20,3,2023-02-16
155,43,7,2,2023-03-24
156,37,7,4,2024-04-24
157,10,20,1,2024-02-22
158,11,12,1,2023-04-20
159,33,19,2,2023-07-01
160,8,17,5,2023-08-26
161,15,3,2,2024-08-15
162,35,1,4,2023-09-02
163,27,20,1,2023-02-02
164,13,10,3,2024-02-18
165,38,6,2,2023-06-14
166,47,16,1,2024-07-24
167,3,7,4,2023-01-10
168,41,8,1,2023-12-30
169,15,3,2,2023-12-31
170,34,11,4,2024-01-12
171,9,11,5,2023-12-22
172,47,5,2,2023-07-23
173,19,3,1,2024-03-13
174,13,9,5,2023-08-17
175,22,14,2,2024-06-29
176,2,9,4,2023-09-07
177,46,9,2,2024-06-09
178,14,9,1,2024-01-01
179,31,12,3,2023-10-28
180,11,11,1,2024-01-07
181,41,4,4,2023-08-03
182,40,18,2,2023-09-15
183,30,13,1,2024-07-02
184,12,7,3,2023-01-17
185,38,5,1,2023-12-18
186,17,9,1,2023-10-08
187,43,11,2,2023-08-05
188,3,8,4,2024-08-19
189,50,17,1,2023-11-19
190,18,20,4,2024-02-22
191,8,5,4,2024-04-30
192,47,8,5,2024-06-07
193,23,17,5,2023-08-15
194,31,16,1,2024-02-11
195,48,5,3,2023-04-27
196,44,7,3,2023-02-11
197,40,8,4,2024-03-31
198,12,12,2,2023-10-11
199,30,5,1,2024-07-29
200,11,1,3,2024-01-05
201,35,11,1,2024-06-05
202,37,6,1,2023-01-06
203,32,17,1,2023-11-15
204,17,5,5,2024-05-25
205,29,2,4,2023-08-06
206,47,14,2,2023-05-13
207,44,18,3,2023-05-12
208,10,10,4,2023-12-12
209,34,20,5,2024-08-20
210,36,7,3,2023-08-27
211,16,17,3,2023-02-13
212,36,9,4,2023-01-25
213,28,14,2,2024-07-14
214,37,10,2,2024-07-08
215,24,10,1,2024-04-27
216,47,2,4,2024-08-13
217,31,1,2,2023-10-12
218,6,10,2,2024-03-24
219,49,18,3,2024-04-17
220,9,3,2,2023-01-01
221,4,8,2,2023-09-10
222,31,17,3,2023-06-05
223,32,2,2,2024-06-14
224,47,7,2,2024-03-09
225,33,20,5,2024-08-08
226,29,7,5,2024-05-11
